player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jaylen Adams,adamsja01,2020,38,19,-.1910005321359378,6.632519270728049,6.441518738592111,17.3583820720628,17.71237917228757,35.07076124435036,3.560116292524661,9.352620425356488,12.91273671788115,.1552276500053682,0,.1552276500053682,3.79567744242493,6.547801898532931,10.34347934095786,-.8800697348670109
Steven Adams,adamsst01,2020,3771,1800,.3577009195667616,1.878988540202994,2.236689459769756,-.1512371479616518,.2099492973061073,.0587121493444553,.2724612416499714,1.629919553120993,1.902380794770964,4.249694394738767,4.30876035915587,-.0590659644171029,-.4344465990545814,1.738783124393021,1.30433652533844,-.4331762910140508
Bam Adebayo,adebaba01,2020,5232,2554,-1.334745334923279,2.180501698355429,.8457563634321501,3.916753860145223,.9650875834773081,4.88184144362253,-.3533322495375876,2.028846449434232,1.675514199896644,5.743000995217115,5.334393452091726,.4086075431253887,-.0153535991189688,1.166794829426526,1.151441230307557,-.6680401871934044
LaMarcus Aldridge,aldrila01,2020,3648,1754,-.5066381148778702,1.106980396798877,.6003422819210065,-.7938723744782604,-.831701036058708,-1.625573410536969,-.6365064846426398,.8097549171083849,.173248432465745,2.580730633788933,2.580730633788933,0,-.6678906906123945,1.263218818607491,.5953281279950962,-1.376128158451694
Kyle Alexander,alexaky01,2020,31,13,-3.677829738188708,-5.624357315182553,-9.302187053371261,-14.11572970599184,5.098319629467065,-9.017410076524779,-6.068270581175968,-3.693344440124966,-9.761615021300933,-.0476025783614543,-.0476025783614543,0,-2.739774336976952,-4.99174938489591,-7.731523721872863,2.409255005635239
Nickeil Alexander-Walker,alexani01,2020,1288,591,-2.281188483769631,-1.163189848227543,-3.444378331997175,1.865312936309771,-3.571594353422691,-1.70628141711292,-1.557004650559606,-1.705173399062937,-3.262178049622543,-.1556198834837259,-.1556198834837259,0,-.3640556360622632,-1.907988164316849,-2.272043800379111,.7826314033157619
Grayson Allen,allengr01,2020,1578,718,.3067923583766801,-1.065795723659677,-.7590033652829966,-1.238058084493646,-2.327524081128917,-3.565582165622563,.0295688210874164,-1.396100139295697,-1.366531318208281,.5090778619040586,.5090778619040586,0,-.0456539803160414,-2.096490069636215,-2.142144049952257,.4594778161567141
Jarrett Allen,allenja01,2020,4197,1984,-.7375224160375123,2.943458740086278,2.205936324048766,3.197516322408045,-.2179230820549655,2.979593240353079,.036544347696212,2.462677633669088,2.499221981365301,5.286240198659156,4.597209550834823,.6890306478243325,-.0560239209098657,2.126734843682003,2.070710922772137,-.8061989698938127
Kadeem Allen,allenka01,2020,252,117,.5021852283206155,4.27370301158714,4.775888239907756,2.043514362673216,-6.455778650873402,-4.412264288200186,.9521359756013857,2.367632910590065,3.319768886191451,.3579984294753798,.3579984294753798,0,1.42196719525852,1.019459149648405,2.441426344906925,-1.219278106791112
Al-Farouq Aminu,aminual01,2020,793,380,-4.103095275789085,2.403072904143206,-1.700022371645879,-9.289022026233578,5.069774359463129,-4.219247666770449,-5.437458354200987,3.099186549101909,-2.338271805099078,.0794655053893683,.0794655053893683,0,-4.841459816922058,2.345112419262624,-2.496347397659433,-.4588303946057762
Justin Anderson,anderju01,2020,296,135,-2.120260527921065,.7119551290695496,-1.408305398851515,-.3335229714100778,.897636587925243,.5641136165151652,-1.824184650341637,.8310991307070701,-.9930855196345671,.1231442807399415,.0795787491308177,.0435655316091238,.0984688813259042,-1.822815382169257,-1.724346500843353,.4516450658804504
Kyle Anderson,anderky01,2020,2903,1330,-1.204295916139744,1.531522283980329,.3272263678405851,-4.722382505973475,2.197078475329047,-2.525304030644428,-1.984329728943561,1.757984670035511,-.22634505890805,1.71415297572757,1.71415297572757,0,-2.553884236779081,1.246153012176481,-1.3077312246026,.1005580863281536
Ryan Anderson,anderry01,2020,33,14,-10.57228652732719,-2.367460296790978,-12.93974682411817,8.062220502293513,6.386354284507141,14.44857478680066,-7.277182689872721,-.6100684380266511,-7.887251127899373,-.037972700083675,-.037972700083675,0,-5.721925996306825,-1.768020558285284,-7.489946554592109,3.557060253938032
Giannis Antetokounmpo,antetgi01,2020,4582,2047,5.756703548072626,2.677977970155274,8.434681518227901,3.185274925205648,6.606213024228576,9.791487949434226,5.517470282097186,3.575599244921378,9.093069527018562,12.59834576085191,12.06061140739445,.5377343534574665,5.165722348246686,2.858728156751736,8.024450504998422,1.753129794859434
Kostas Antetokounmpo,antetko01,2020,47,20,.2994999501450082,-5.303793778784043,-5.004293828639035,10.66629560628411,.8955219562053777,11.56181756248949,2.505951218794461,-4.391566595883636,-1.885615377089174,.0088344998829698,.0088344998829698,0,-.5838359369728015,-4.896258230645554,-5.480094167618356,.1657617016234836
Thanasis Antetokounmpo,antetth01,2020,295,129,-2.033174469339584,.0227507313231059,-2.010423738016478,-2.378883098782288,1.450268333954055,-.9286147648282335,-2.296702093759033,.1936976166703395,-2.103004477088693,.0430637503530811,.0430637503530811,0,-2.093529192514536,-.0776562906775199,-2.171185483192056,1.15387194028815
Carmelo Anthony,anthoca01,2020,4269,2037,-2.122620269438047,-2.742892506506821,-4.865512775944868,1.783760535869906,-2.634597552141281,-.8508370162713749,-1.47488610659415,-2.855226038536274,-4.330112145130424,-1.634211449757235,-1.348472871273892,-.2857385784833426,-.8497375857846428,-2.649181046919177,-3.498918632703819,-.9543040982314995
