player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jaylen Adams,adamsja01,2020,PO,POR,38,19,-.1910005321359378,6.632519270728049,6.441518738592111,17.3583820720628,17.71237917228757,35.07076124435036,3.560116292524661,9.352620425356488,12.91273671788115,.1552276500053682,0,.1552276500053682,3.79567744242493,6.547801898532931,10.34347934095786,-.880069734867011
Steven Adams,adamsst01,2020,PO,OKC,249,120,-2.312296112681712,4.081779925978836,1.769483813297124,-15.69835118900786,-9.434837517806528,-25.13318870681439,-5.187431082769805,1.496568341398073,-3.690862741371732,-.0590659644171029,0,-.0590659644171029,-7.363291098045259,-.891407965758565,-8.254699063803825,-.584269475734559
Steven Adams,adamsst01,2020,RS,OKC,3522,1680,.5464656160545157,1.723254566591926,2.269720182646441,.9479199775978329,.8918209375568303,1.839740915154663,.6584672577716422,1.63934727933309,2.297814537104732,4.30876035915587,4.30876035915587,0,.0554120835827492,1.924733601805783,1.980145685388532,-.4224942345133675
Bam Adebayo,adebaba01,2020,PO,MIA,279,137,-1.558302499328776,-.5195971081762079,-2.077899607504984,21.23668905214217,2.100973603689215,23.33766265583139,3.035849655519145,-.1484401407844009,2.887409514734744,.4086075431253887,0,.4086075431253887,5.838185059959193,-2.445925685772193,3.392259374187001,.5489462645766585
Bam Adebayo,adebaba01,2020,RS,MIA,4953,2417,-1.322152472240232,2.332596906718508,1.010444434478276,2.941130617955207,.901103694997776,3.842234312952983,-.544243162420856,2.151491908483494,1.607248746062638,5.334393452091726,5.334393452091726,0,-.3450804890609853,1.370297559840505,1.02521707077952,-.7365924222113425
LaMarcus Aldridge,aldrila01,2020,RS,SAS,3648,1754,-.5066381148778702,1.106980396798877,.6003422819210065,-.7938723744782604,-.831701036058708,-1.625573410536969,-.6365064846426398,.8097549171083849,.1732484324657451,2.580730633788933,2.580730633788933,0,-.6678906906123945,1.263218818607491,.5953281279950962,-1.376128158451694
Kyle Alexander,alexaky01,2020,RS,MIA,31,13,-3.677829738188708,-5.624357315182553,-9.302187053371261,-14.11572970599184,5.098319629467065,-9.017410076524779,-6.068270581175968,-3.693344440124966,-9.761615021300933,-.0476025783614543,-.0476025783614543,0,-2.739774336976952,-4.99174938489591,-7.731523721872863,2.409255005635239
Nickeil Alexander-Walker,alexani01,2020,RS,NOP,1288,591,-2.281188483769631,-1.163189848227543,-3.444378331997175,1.865312936309771,-3.571594353422691,-1.70628141711292,-1.557004650559606,-1.705173399062937,-3.262178049622543,-.1556198834837259,-.1556198834837259,0,-.3640556360622632,-1.907988164316848,-2.272043800379111,.7826314033157619
Grayson Allen,allengr01,2020,RS,MEM,1578,718,.3067923583766801,-1.065795723659677,-.7590033652829966,-1.238058084493646,-2.327524081128917,-3.565582165622563,.0295688210874164,-1.396100139295697,-1.366531318208281,.5090778619040586,.5090778619040586,0,-.0456539803160415,-2.096490069636215,-2.142144049952257,.4594778161567141
Jarrett Allen,allenja01,2020,PO,BRK,279,132,-1.216018998802327,7.867287948171385,6.651268949369058,5.39077545579282,2.515542649132824,7.906318104925644,.0188844703475657,7.414892860468622,7.433777330816188,.6890306478243325,0,.6890306478243325,4.106221878742433,5.285082418557726,9.391304297300159,-2.614110586629481
Jarrett Allen,allenja01,2020,RS,BRK,3918,1852,-.7034487696384865,2.592833842420188,1.889385072781701,3.041334776156295,-.4125726325913088,2.628762143564987,.0378019040464602,2.110031373261465,2.147833277307925,4.597209550834823,4.597209550834823,0,-.3524166156783679,1.901829541642614,1.549412925964246,-.6774579435872146
Kadeem Allen,allenka01,2020,RS,NYK,252,117,.5021852283206155,4.27370301158714,4.775888239907756,2.043514362673216,-6.455778650873402,-4.412264288200186,.9521359756013857,2.367632910590065,3.319768886191451,.3579984294753798,.3579984294753798,0,1.42196719525852,1.019459149648405,2.441426344906925,-1.219278106791112
Al-Farouq Aminu,aminual01,2020,RS,ORL,793,380,-4.103095275789085,2.403072904143206,-1.700022371645879,-9.289022026233578,5.069774359463129,-4.219247666770449,-5.437458354200988,3.09918654910191,-2.338271805099078,.0794655053893683,.0794655053893683,0,-4.841459816922058,2.345112419262624,-2.496347397659433,-.4588303946057762
Justin Anderson,anderju01,2020,PO,BRK,61,28,4.004241947339406,-.7677778581042213,3.236464089235185,-11.90580502800815,-2.155798831119254,-14.06160385912741,1.120727270392592,-.9455251198435641,.1752021505490278,.0435655316091238,0,.0435655316091238,6.644542022718451,-6.520190490303643,.1243515324148081,1.093239309246307
Justin Anderson,anderju01,2020,RS,BRK,235,107,-3.710025000222719,1.096056032123167,-2.613968968099552,2.670345987962188,1.690230462655942,4.36057645061813,-2.588608595723714,1.292265425530852,-1.296343170192862,.0795787491308177,.0795787491308177,0,-1.600724572397267,-.6034967370790548,-2.204221309476322,.285103581432292
Kyle Anderson,anderky01,2020,RS,MEM,2903,1330,-1.204295916139744,1.531522283980329,.3272263678405851,-4.722382505973475,2.197078475329047,-2.525304030644428,-1.984329728943561,1.757984670035511,-.22634505890805,1.71415297572757,1.71415297572757,0,-2.553884236779081,1.246153012176481,-1.3077312246026,.1005580863281536
