id,name,season,raptor_offense,raptor_defense,raptor_total,war_total,createdAt,updatedAt
110,"Carmelo Anthony",2017,1.92927,-3.10711,-1.17785,2.03233,NULL,NULL
111,"Carmelo Anthony",2018,0.954832,-1.74408,-0.789247,2.68701,NULL,NULL
112,"Carmelo Anthony",2019,-2.50643,-2.62839,-5.13483,-0.357081,NULL,NULL
113,"Joel Anthony",2014,-4.38498,-0.429848,-4.81482,-0.194876,NULL,NULL
114,"Joel Anthony",2015,-2.5502,1.86408,-0.68612,0.424557,NULL,NULL
115,"Joel Anthony",2016,-2.6428,-3.15528,-5.79808,-0.14876,NULL,NULL
116,"Joel Anthony",2017,-5.4855,1.25702,-4.22848,-0.103014,NULL,NULL
117,"Pero Antic",2014,-1.21397,0.69987,-0.514098,1.2971,NULL,NULL
118,"Pero Antic",2015,-1.34654,1.26022,-0.0863222,1.70013,NULL,NULL
119,"OG Anunoby",2018,-0.695459,1.41325,0.717796,3.05108,NULL,NULL
120,"OG Anunoby",2019,-3.34948,-0.29794,-3.64742,-0.620125,NULL,NULL
121,"Keith Appling",2016,-11.1632,6.69267,-4.47051,-0.0241516,NULL,NULL
122,"Ryan Arcidiacono",2018,-2.85878,-0.85697,-3.71575,-0.149062,NULL,NULL
123,"Ryan Arcidiacono",2019,-0.0910555,-0.403091,-0.494146,2.22707,NULL,NULL
124,"Trevor Ariza",2014,1.21329,0.933668,2.14696,8.03479,NULL,NULL
125,"Trevor Ariza",2015,0.197131,1.42471,1.62184,7.99388,NULL,NULL
126,"Trevor Ariza",2016,0.185511,-0.93006,-0.744548,3.10384,NULL,NULL
127,"Trevor Ariza",2017,0.888594,0.370377,1.25897,6.49031,NULL,NULL
128,"Trevor Ariza",2018,0.15596,-0.581981,-0.426021,3.40658,NULL,NULL
129,"Trevor Ariza",2019,-0.217655,-1.97848,-2.19614,0.659834,NULL,NULL
130,"Hilton Armstrong",2014,-1.61823,-3.09817,-4.7164,-0.095479,NULL,NULL
131,"Metta World Peace",2014,-1.23933,2.64705,1.40772,0.82004,NULL,NULL
132,"Metta World Peace",2016,-2.54853,0.278147,-2.27039,0.143345,NULL,NULL
133,"Metta World Peace",2017,-5.39463,-2.32837,-7.72301,-0.406417,NULL,NULL
134,"Darrell Arthur",2014,-3.62898,1.88904,-1.73995,0.60167,NULL,NULL
135,"Darrell Arthur",2015,-3.29892,4.65776,1.35884,2.09023,NULL,NULL
136,"Darrell Arthur",2016,-1.88356,1.76415,-0.119412,2.03882,NULL,NULL
137,"Darrell Arthur",2017,-1.50569,-0.656799,-2.16249,0.192896,NULL,NULL
138,"Darrell Arthur",2018,-5.42154,-4.14198,-9.56352,-0.498596,NULL,NULL
139,"Jamel Artis",2018,-3.84858,-3.39157,-7.24015,-0.632604,NULL,NULL
140,"Omer Asik",2014,-2.29221,1.95979,-0.332422,1.39699,NULL,NULL
141,"Omer Asik",2015,-2.01862,2.47022,0.451602,3.34271,NULL,NULL
142,"Omer Asik",2016,-3.45565,-0.543305,-3.99896,-0.748588,NULL,NULL
143,"Omer Asik",2017,-4.18541,-1.41677,-5.60217,-0.699296,NULL,NULL
144,"Omer Asik",2018,-6.32163,-1.61664,-7.93827,-0.485444,NULL,NULL
145,"D.J. Augustin",2014,2.00362,-2.12958,-0.125958,2.74639,NULL,NULL
146,"D.J. Augustin",2015,-0.19394,-1.53052,-1.72446,1.02244,NULL,NULL
147,"D.J. Augustin",2016,1.05285,-2.91064,-1.85779,0.538689,NULL,NULL
148,"D.J. Augustin",2017,-2.19006,-4.16098,-6.35103,-2.79834,NULL,NULL
149,"D.J. Augustin",2018,0.407657,-0.489579,-0.0819217,2.38419,NULL,NULL
150,"D.J. Augustin",2019,2.25834,-2.37671,-0.118375,3.20137,NULL,NULL
151,"Gustavo Ayon",2014,-3.6173,3.68604,0.0687435,0.619439,NULL,NULL
152,"Deandre Ayton",2019,-0.616975,-1.67557,-2.29254,0.505997,NULL,NULL
153,"Chris Babb",2014,-2.49469,-1.00851,-3.5032,-0.0509209,NULL,NULL
154,"Luke Babbitt",2014,1.98043,-0.765389,1.21504,0.952403,NULL,NULL
155,"Luke Babbitt",2015,0.0875086,-2.25944,-2.17194,0.244984,NULL,NULL
156,"Luke Babbitt",2016,0.973731,-2.0559,-1.08217,0.717796,NULL,NULL
157,"Luke Babbitt",2017,-0.462168,0.157125,-0.305043,1.32187,NULL,NULL
158,"Luke Babbitt",2018,-0.686196,-2.3441,-3.0303,-0.118493,NULL,NULL
159,"Dwayne Bacon",2018,-3.72846,-1.39106,-5.11952,-0.862511,NULL,NULL
160,"Dwayne Bacon",2019,0.384197,-2.8161,-2.4319,0.122323,NULL,NULL
161,"Marvin Bagley III",2019,-1.0662,-1.80786,-2.87405,-0.0990791,NULL,NULL
162,"Cameron Bairstow",2015,-4.49662,-3.04873,-7.54535,-0.157322,NULL,NULL
163,"Cameron Bairstow",2016,-5.93337,0.582193,-5.35118,-0.138075,NULL,NULL
164,"Ron Baker",2017,-2.49229,2.0637,-0.428595,1.01483,NULL,NULL
165,"Ron Baker",2018,-0.595668,1.6277,1.03203,0.747135,NULL,NULL
166,"Ron Baker",2019,-5.68723,3.85393,-1.83331,0.0686107,NULL,NULL
167,"Wade Baldwin IV",2017,-7.72121,-2.3133,-10.0345,-1.55074,NULL,NULL
168,"Wade Baldwin IV",2018,-0.355374,2.28354,1.92817,0.238614,NULL,NULL
169,"Wade Baldwin IV",2019,-11.4886,-5.02737,-16.516,-0.667983,NULL,NULL
170,"Lonzo Ball",2018,-0.888551,1.44946,0.560912,3.04028,NULL,NULL
171,"Lonzo Ball",2019,-1.11196,0.787086,-0.324874,1.77601,NULL,NULL
172,"Mo Bamba",2019,-5.2578,-0.936775,-6.19457,-1.34395,NULL,NULL
173,"Leandro Barbosa",2014,-0.533145,-1.64636,-2.1795,0.106516,NULL,NULL
174,"Leandro Barbosa",2015,0.804725,-2.93264,-2.12792,0.39212,NULL,NULL
175,"Leandro Barbosa",2016,-0.0741139,-2.10955,-2.18366,0.41689,NULL,NULL
176,"Leandro Barbosa",2017,-0.306776,-1.79897,-2.10574,0.316676,NULL,NULL
177,"J.J. Barea",2014,-0.862358,-1.6649,-2.52726,0.16536,NULL,NULL
178,"J.J. Barea",2015,2.12574,-0.0284589,2.09728,3.72259,NULL,NULL
179,"J.J. Barea",2016,0.924204,-2.29808,-1.37388,1.19772,NULL,NULL
180,"J.J. Barea",2017,1.90353,0.533939,2.43747,2.0348,NULL,NULL
181,"J.J. Barea",2018,3.36362,-1.70393,1.65969,3.60032,NULL,NULL
182,"J.J. Barea",2019,1.88904,-0.675702,1.21334,1.5223,NULL,NULL
183,"Andrea Bargnani",2014,-2.90163,0.563123,-2.33851,0.261726,NULL,NULL
184,"Andrea Bargnani",2015,-3.15225,-4.96009,-8.11234,-2.14203,NULL,NULL
185,"Andrea Bargnani",2016,-3.26963,-4.13678,-7.40641,-1.49358,NULL,NULL
186,"Harrison Barnes",2014,-3.20298,-0.575423,-3.7784,-1.22751,NULL,NULL
187,"Harrison Barnes",2015,-0.620502,0.146709,-0.473793,3.50201,NULL,NULL
188,"Harrison Barnes",2016,-0.970635,-0.715062,-1.6857,1.49756,NULL,NULL
189,"Harrison Barnes",2017,-1.29003,1.0534,-0.236627,3.55432,NULL,NULL
190,"Harrison Barnes",2018,-1.35746,-0.165916,-1.52338,1.63876,NULL,NULL
191,"Harrison Barnes",2019,-0.888714,-0.395422,-1.28414,1.91582,NULL,NULL
192,"Matt Barnes",2014,0.659723,-0.643911,0.0158116,3.0593,NULL,NULL
193,"Matt Barnes",2015,1.04362,1.11097,2.15459,6.78703,NULL,NULL
194,"Matt Barnes",2016,-0.7388,-1.85539,-2.59419,0.163583,NULL,NULL
195,"Matt Barnes",2017,-1.02606,-0.977489,-2.00355,0.710132,NULL,NULL
196,"Earl Barron",2015,-6.16237,-6.57702,-12.7394,-0.73175,NULL,NULL
197,"Will Barton",2014,-0.93091,0.527674,-0.403236,0.565409,NULL,NULL
198,"Will Barton",2015,-1.27176,0.991204,-0.280561,1.23998,NULL,NULL
199,"Will Barton",2016,0.249205,-0.599943,-0.350738,2.8787,NULL,NULL
200,"Will Barton",2017,1.08035,-1.89924,-0.818888,1.67949,NULL,NULL
201,"Will Barton",2018,1.26339,-0.401034,0.862354,4.94057,NULL,NULL
202,"Will Barton",2019,-1.94007,-2.20511,-4.14518,-1.1071,NULL,NULL
203,"Brandon Bass",2014,-2.05168,-1.1706,-3.22228,-0.54108,NULL,NULL
204,"Brandon Bass",2015,-1.73501,-1.22436,-2.95937,-0.227945,NULL,NULL
205,"Brandon Bass",2016,-0.0314882,-0.384971,-0.416459,1.58671,NULL,NULL
206,"Brandon Bass",2017,-0.403687,-3.4402,-3.84389,-0.322314,NULL,NULL
207,"Keita Bates-Diop",2019,-3.44857,-0.428779,-3.87735,-0.287116,NULL,NULL
208,"Shane Battier",2014,0.259689,2.16735,2.42704,4.38164,NULL,NULL
209,"Nicolas Batum",2014,1.83413,0.306725,2.14086,8.66965,NULL,NULL
210,"Nicolas Batum",2015,0.574499,-0.165138,0.409361,4.22001,NULL,NULL
211,"Nicolas Batum",2016,1.10588,-2.24304,-1.13716,2.10183,NULL,NULL
212,"Nicolas Batum",2017,0.873404,-0.669863,0.203541,3.99956,NULL,NULL
213,"Nicolas Batum",2018,1.26252,-2.25585,-0.993338,1.79224,NULL,NULL
214,"Nicolas Batum",2019,-0.878789,-0.22778,-1.10657,1.97732,NULL,NULL
215,"Jerryd Bayless",2014,0.0553879,-2.44385,-2.38846,0.306815,NULL,NULL
216,"Jerryd Bayless",2015,-1.89125,-0.186037,-2.07729,0.636176,NULL,NULL
217,"Jerryd Bayless",2016,0.165054,-0.884812,-0.719757,1.54721,NULL,NULL
218,"Jerryd Bayless",2017,-2.391,-3.30675,-5.69776,-0.106791,NULL,NULL
219,"Jerryd Bayless",2018,-2.3516,-1.65453,-4.00613,-0.595908,NULL,NULL
220,"Jerryd Bayless",2019,-1.92994,-6.13016,-8.06011,-1.75416,NULL,NULL
221,"Aron Baynes",2014,-2.78413,-1.05362,-3.83775,-0.311639,NULL,NULL
222,"Aron Baynes",2015,-1.78577,1.6777,-0.108073,1.58277,NULL,NULL
223,"Aron Baynes",2016,-1.97491,0.00796631,-1.96695,0.492258,NULL,NULL
224,"Aron Baynes",2017,-1.87536,4.49676,2.6214,3.18437,NULL,NULL
225,"Aron Baynes",2018,-3.02442,3.23415,0.209731,2.84046,NULL,NULL
226,"Aron Baynes",2019,-1.77012,3.51629,1.74618,2.16292,NULL,NULL
227,"Kent Bazemore",2014,-2.44195,0.445799,-1.99615,0.358661,NULL,NULL
228,"Kent Bazemore",2015,-2.84964,0.329001,-2.52064,0.193117,NULL,NULL
229,"Kent Bazemore",2016,-0.328532,1.07372,0.745189,4.34503,NULL,NULL
230,"Kent Bazemore",2017,-1.42144,1.53068,0.109239,3.13019,NULL,NULL
231,"Kent Bazemore",2018,-0.133694,0.709197,0.575503,3.07431,NULL,NULL
232,"Kent Bazemore",2019,-2.89514,0.599508,-2.29564,0.386742,NULL,NULL
233,"Bradley Beal",2014,0.693734,0.757418,1.45115,6.49981,NULL,NULL
234,"Bradley Beal",2015,1.1165,0.654233,1.77073,5.83249,NULL,NULL
